DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalLoadValue	UpdateTime
2014-12-04 11:30:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	12494.44	2017-09-14 04:18:49.049
2014-12-04 12:30:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	12524.52	2017-09-14 04:18:49.049
2014-12-04 13:30:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	12419.40	2017-09-14 04:18:49.049
2014-12-04 14:30:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	12399.49	2017-09-14 04:18:49.049
2014-12-04 15:30:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	12508.02	2017-09-14 04:18:49.049
2014-12-04 16:30:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	13354.63	2017-09-14 04:18:49.049
2014-12-04 17:30:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	13217.83	2017-09-14 04:18:49.049
2014-12-04 18:30:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	12665.99	2017-09-14 04:18:49.049
2014-12-04 19:30:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	12039.96	2017-09-14 04:18:49.049
2014-12-04 20:30:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	11513.33	2017-09-14 04:18:49.049
2014-12-04 21:30:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	11653.20	2017-09-14 04:18:49.049
2014-12-04 22:30:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	11270.69	2017-09-14 04:18:49.049
2014-12-04 23:30:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	10545.92	2017-09-14 04:18:49.049
2014-12-04 00:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	9955.53	2017-09-14 04:18:49.049
2014-12-04 01:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	9654.36	2017-09-14 04:18:49.049
2014-12-04 02:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	9527.30	2017-09-14 04:18:49.049
2014-12-04 03:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	9647.15	2017-09-14 04:18:49.049
2014-12-04 04:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	10119.18	2017-09-14 04:18:49.049
2014-12-04 05:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	11445.16	2017-09-14 04:18:49.049
2014-12-04 06:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	12498.40	2017-09-14 04:18:49.049
